               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039832,           0.0067374,            0.054351,             0.53526,             0.33105,             0.25356,             0.16035,            0.033879,           0.0055932,            0.053524,            0.006535,            0.006535,            0.006535
                  37,            0.040479,            0.006953,            0.054117,             0.56905,             0.28231,             0.25446,             0.16431,            0.033471,           0.0056087,            0.052745,            0.006436,            0.006436,            0.006436
                  38,            0.040068,           0.0068382,            0.052631,              0.5397,             0.30792,             0.25551,             0.15983,            0.031892,           0.0056117,            0.052292,            0.006337,            0.006337,            0.006337
                  39,            0.042693,            0.007662,             0.05734,             0.54159,             0.28628,             0.23276,             0.14485,            0.034414,           0.0059604,            0.053812,            0.006238,            0.006238,            0.006238
                  40,            0.040281,           0.0070125,            0.054664,             0.47395,             0.30912,             0.24148,             0.15354,            0.033597,           0.0058318,             0.05295,            0.006139,            0.006139,            0.006139
                  41,            0.039891,           0.0069169,            0.053394,             0.54008,             0.30428,             0.25861,             0.16427,            0.032111,           0.0055619,            0.051503,             0.00604,             0.00604,             0.00604
                  42,            0.039311,           0.0068566,            0.052362,             0.46475,             0.36627,             0.26535,             0.16989,            0.033504,           0.0055112,            0.051042,            0.005941,            0.005941,            0.005941
                  43,            0.039297,           0.0066741,            0.051819,             0.53063,             0.35006,              0.2762,             0.17868,            0.033929,           0.0054143,            0.050553,            0.005842,            0.005842,            0.005842
                  44,            0.039052,           0.0065933,            0.051894,             0.54878,             0.31218,             0.27035,             0.17133,            0.031937,           0.0055642,             0.05041,            0.005743,            0.005743,            0.005743
                  45,            0.039302,             0.00666,            0.050773,              0.5051,             0.35366,             0.27647,             0.17739,            0.030646,            0.005491,            0.049639,            0.005644,            0.005644,            0.005644
                  46,            0.039656,           0.0067461,            0.051248,             0.56763,             0.32206,             0.27881,             0.17978,            0.031774,           0.0054527,            0.049523,            0.005545,            0.005545,            0.005545
                  47,             0.03901,           0.0066372,            0.050971,             0.55179,             0.34633,               0.287,             0.18587,            0.030975,           0.0054216,            0.048922,            0.005446,            0.005446,            0.005446
                  48,            0.037357,           0.0065866,            0.049789,             0.53123,             0.36069,             0.29152,             0.19046,            0.030427,           0.0053966,             0.04825,            0.005347,            0.005347,            0.005347
                  49,            0.039233,           0.0066024,            0.050009,             0.54564,             0.35212,              0.2999,             0.19425,            0.031316,            0.005329,            0.048207,            0.005248,            0.005248,            0.005248
                  50,            0.037882,           0.0064955,            0.048672,             0.60075,             0.34037,             0.29945,              0.1954,            0.029999,           0.0053265,            0.047551,            0.005149,            0.005149,            0.005149
                  51,            0.038276,           0.0065362,            0.048868,             0.55412,             0.37012,             0.31122,             0.20327,            0.029757,           0.0052777,            0.047171,             0.00505,             0.00505,             0.00505
                  52,             0.03712,           0.0064678,            0.048744,             0.59045,             0.35564,             0.31741,             0.20595,            0.029964,           0.0053047,             0.04699,            0.004951,            0.004951,            0.004951
                  53,            0.037692,           0.0065307,            0.047971,             0.60385,             0.34273,             0.30819,             0.20081,            0.030679,           0.0053102,            0.047306,            0.004852,            0.004852,            0.004852
                  54,             0.03758,           0.0064996,            0.047913,             0.58838,             0.36349,             0.32105,             0.21055,            0.029183,           0.0052139,            0.046493,            0.004753,            0.004753,            0.004753
                  55,            0.037644,           0.0064181,             0.04815,             0.58688,             0.36097,             0.32066,             0.21216,            0.029344,           0.0051685,            0.046031,            0.004654,            0.004654,            0.004654
                  56,            0.036924,           0.0064046,            0.047429,             0.57319,             0.35519,             0.32273,             0.21142,            0.028964,           0.0051612,            0.046024,            0.004555,            0.004555,            0.004555
                  57,            0.036412,           0.0063468,            0.048238,             0.60602,             0.36003,             0.32469,             0.21555,            0.028928,           0.0051416,            0.045772,            0.004456,            0.004456,            0.004456
                  58,            0.036343,           0.0063031,            0.047482,             0.57585,             0.38244,               0.331,             0.21969,            0.028861,           0.0051446,            0.045709,            0.004357,            0.004357,            0.004357
                  59,            0.036645,           0.0062651,            0.046607,             0.55026,             0.36766,             0.33298,             0.22088,            0.028542,           0.0051046,            0.045413,            0.004258,            0.004258,            0.004258
                  60,            0.037295,           0.0063594,             0.04661,             0.59919,             0.36296,             0.33862,             0.22252,            0.028677,           0.0051157,            0.045037,            0.004159,            0.004159,            0.004159
                  61,            0.035972,           0.0062193,            0.045364,             0.60495,             0.37061,             0.34222,             0.22557,            0.028621,            0.005079,            0.044886,             0.00406,             0.00406,             0.00406
                  62,            0.035946,           0.0063942,            0.047075,             0.61229,             0.36402,              0.3361,             0.22467,            0.028731,           0.0051121,            0.044712,            0.003961,            0.003961,            0.003961
                  63,            0.036392,           0.0063314,            0.046701,             0.53008,             0.40349,             0.33966,              0.2259,            0.028412,           0.0050884,             0.04429,            0.003862,            0.003862,            0.003862
                  64,            0.035785,           0.0063052,            0.045785,             0.57506,              0.3754,             0.34534,             0.23066,            0.028218,           0.0050201,            0.043954,            0.003763,            0.003763,            0.003763
                  65,            0.035374,           0.0062341,            0.045721,              0.5906,             0.36993,             0.34811,             0.23568,            0.028077,           0.0050347,            0.043875,            0.003664,            0.003664,            0.003664
                  66,            0.035459,           0.0062086,            0.044139,             0.62207,             0.37036,             0.35118,             0.23441,            0.028084,           0.0050356,            0.043851,            0.003565,            0.003565,            0.003565
                  67,            0.035184,            0.006171,            0.044894,              0.6244,             0.37048,             0.35607,              0.2377,            0.027989,           0.0050125,            0.043442,            0.003466,            0.003466,            0.003466
                  68,            0.035236,           0.0061814,            0.044348,              0.6008,             0.36879,             0.35784,              0.2396,            0.027766,           0.0049669,            0.043188,            0.003367,            0.003367,            0.003367
                  69,            0.035145,           0.0061133,            0.044903,             0.64743,             0.36206,              0.3645,             0.24527,            0.027751,           0.0049553,            0.042757,            0.003268,            0.003268,            0.003268
                  70,            0.034609,           0.0060381,            0.044543,              0.6303,             0.37199,             0.36797,             0.24959,            0.027608,           0.0049362,            0.042623,            0.003169,            0.003169,            0.003169
                  71,            0.035218,           0.0060106,            0.043653,             0.60155,              0.3752,             0.36563,             0.24782,            0.027528,           0.0049303,            0.042551,             0.00307,             0.00307,             0.00307
                  72,            0.034239,           0.0060694,            0.043521,             0.60804,             0.37003,             0.36737,             0.24782,            0.027363,           0.0049084,            0.042385,            0.002971,            0.002971,            0.002971
                  73,              0.0349,           0.0059721,            0.043396,             0.59423,             0.38356,             0.37181,             0.25168,            0.027571,           0.0049128,            0.041933,            0.002872,            0.002872,            0.002872
                  74,            0.033814,           0.0060535,            0.043914,              0.6293,             0.37237,             0.37304,              0.2538,            0.027312,           0.0049195,             0.04208,            0.002773,            0.002773,            0.002773
                  75,            0.034273,           0.0060271,            0.042244,             0.64452,             0.37253,             0.38225,             0.26036,            0.027118,           0.0048679,            0.041586,            0.002674,            0.002674,            0.002674
                  76,            0.033471,           0.0061212,            0.043137,             0.64128,             0.36659,             0.38501,              0.2628,            0.027069,           0.0048929,             0.04128,            0.002575,            0.002575,            0.002575
                  77,            0.033579,            0.005927,            0.042389,             0.45993,             0.45939,             0.38475,              0.2615,            0.027111,           0.0048448,            0.041113,            0.002476,            0.002476,            0.002476
                  78,            0.033586,           0.0059742,            0.042243,              0.5319,             0.42989,             0.38857,              0.2666,            0.026983,           0.0048204,            0.040902,            0.002377,            0.002377,            0.002377
                  79,            0.033483,           0.0059198,            0.041998,             0.52474,             0.45574,             0.39314,              0.2694,            0.026994,           0.0047902,            0.040811,            0.002278,            0.002278,            0.002278
