               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036888,           0.0057011,            0.044295,             0.63211,             0.41707,              0.3884,             0.26248,            0.030777,           0.0046439,            0.043421,            0.006535,            0.006535,            0.006535
                  37,            0.036945,           0.0055862,            0.043935,             0.63349,             0.42675,             0.40059,             0.26902,            0.029731,           0.0046825,            0.042113,            0.006436,            0.006436,            0.006436
                  38,            0.036073,           0.0055845,            0.043511,             0.55165,             0.45003,             0.40845,             0.27934,             0.02809,           0.0045896,            0.041638,            0.006337,            0.006337,            0.006337
                  39,            0.035606,           0.0055236,             0.04265,             0.60694,             0.44177,             0.42186,             0.29179,            0.028111,           0.0044943,            0.040582,            0.006238,            0.006238,            0.006238
                  40,            0.035806,           0.0054732,            0.042031,             0.61952,             0.44819,             0.42594,             0.29093,            0.029581,           0.0044868,            0.040264,            0.006139,            0.006139,            0.006139
                  41,             0.03673,            0.005595,            0.041935,             0.58345,             0.42447,              0.3954,             0.27434,            0.028659,           0.0046537,             0.04155,             0.00604,             0.00604,             0.00604
                  42,            0.035736,           0.0055152,            0.041698,             0.62477,             0.42012,             0.41264,             0.28674,            0.028366,             0.00454,            0.040534,            0.005941,            0.005941,            0.005941
                  43,            0.034945,           0.0055718,            0.041023,             0.51853,             0.51605,             0.44174,             0.30805,            0.027659,           0.0044142,            0.039097,            0.005842,            0.005842,            0.005842
                  44,            0.036075,           0.0056975,            0.041228,              0.5981,              0.4541,             0.42786,             0.29367,            0.028867,           0.0045421,            0.039989,            0.005743,            0.005743,            0.005743
                  45,              0.0357,           0.0055186,            0.040536,             0.66954,             0.43371,             0.44645,             0.30632,            0.027792,            0.004525,             0.03909,            0.005644,            0.005644,            0.005644
                  46,             0.03621,           0.0054694,            0.039443,             0.65485,             0.46045,             0.45814,             0.31862,            0.027888,           0.0044121,            0.038455,            0.005545,            0.005545,            0.005545
                  47,            0.036154,           0.0054507,            0.039664,             0.63258,             0.46691,             0.46125,             0.32274,            0.027805,           0.0044168,            0.038303,            0.005446,            0.005446,            0.005446
                  48,            0.035213,           0.0053741,            0.038791,             0.62391,             0.45362,             0.46504,             0.32586,            0.027554,           0.0044032,             0.03758,            0.005347,            0.005347,            0.005347
                  49,            0.034165,           0.0053325,            0.037733,             0.69744,             0.44595,             0.47121,              0.3334,            0.026735,           0.0042868,            0.037013,            0.005248,            0.005248,            0.005248
                  50,            0.034556,           0.0054529,            0.036957,             0.66507,             0.47223,             0.47556,             0.33408,            0.026759,            0.004285,            0.036616,            0.005149,            0.005149,            0.005149
                  51,            0.034712,           0.0052149,            0.036692,             0.65543,             0.48088,              0.4841,             0.34185,            0.027091,           0.0042732,            0.035819,             0.00505,             0.00505,             0.00505
                  52,            0.034871,           0.0052185,            0.036765,             0.48601,             0.53117,             0.49333,             0.34802,            0.026905,           0.0042867,            0.035882,            0.004951,            0.004951,            0.004951
                  53,            0.034295,           0.0054231,            0.036038,             0.54797,             0.51491,              0.4922,             0.34749,            0.026894,           0.0042309,            0.034968,            0.004852,            0.004852,            0.004852
                  54,            0.035204,           0.0056862,            0.039146,             0.65741,              0.4584,             0.48014,             0.33582,            0.027131,           0.0043605,            0.035666,            0.004753,            0.004753,            0.004753
                  55,            0.034471,           0.0053588,            0.036456,             0.72913,             0.43572,              0.4906,             0.34832,            0.026257,           0.0042692,            0.035013,            0.004654,            0.004654,            0.004654
                  56,            0.035365,           0.0054622,            0.036319,             0.42634,             0.57915,              0.4943,              0.3508,             0.02689,           0.0043096,            0.034777,            0.004555,            0.004555,            0.004555
                  57,            0.033403,           0.0052757,            0.034953,             0.61786,              0.4861,             0.50802,             0.36305,            0.026775,           0.0042484,            0.034125,            0.004456,            0.004456,            0.004456
                  58,            0.033844,           0.0051984,            0.034476,             0.40949,              0.6065,             0.51958,             0.37215,            0.026024,           0.0041673,            0.033584,            0.004357,            0.004357,            0.004357
                  59,            0.033666,           0.0052033,            0.033995,             0.52927,             0.54396,             0.51684,             0.36909,            0.026261,           0.0041566,            0.033158,            0.004258,            0.004258,            0.004258
                  60,            0.033885,           0.0050738,             0.03335,             0.54839,             0.53431,             0.51667,             0.36643,            0.026771,           0.0042097,            0.033454,            0.004159,            0.004159,            0.004159
                  61,            0.033873,           0.0052806,            0.033376,             0.56263,             0.50876,             0.52331,             0.37755,            0.025946,           0.0041607,            0.032461,             0.00406,             0.00406,             0.00406
                  62,            0.034615,           0.0051921,            0.032864,             0.60909,             0.51255,             0.52972,             0.37942,            0.026434,           0.0041485,            0.032197,            0.003961,            0.003961,            0.003961
                  63,            0.034421,           0.0052564,             0.03347,             0.50196,             0.56482,             0.53834,             0.38618,            0.026078,           0.0041583,            0.032349,            0.003862,            0.003862,            0.003862
                  64,            0.032542,           0.0052226,            0.033317,              0.4657,             0.57534,             0.54179,             0.39161,            0.025292,           0.0041394,            0.031619,            0.003763,            0.003763,            0.003763
                  65,            0.033944,           0.0052191,            0.031886,              0.6737,             0.50302,             0.54682,             0.39349,            0.025491,           0.0041527,            0.030992,            0.003664,            0.003664,            0.003664
                  66,             0.03409,           0.0051294,            0.032148,             0.57529,             0.53381,             0.54868,             0.39622,            0.026164,           0.0041477,            0.031023,            0.003565,            0.003565,            0.003565
                  67,            0.033582,           0.0052006,            0.032266,             0.47333,             0.56971,             0.54678,             0.39186,             0.02538,           0.0041455,             0.03086,            0.003466,            0.003466,            0.003466
                  68,            0.032836,           0.0051086,            0.030322,             0.57755,             0.54488,             0.55917,             0.40308,            0.025158,           0.0041008,            0.029974,            0.003367,            0.003367,            0.003367
                  69,            0.033454,           0.0050717,            0.030007,              0.6215,             0.52484,             0.55795,             0.40433,            0.025899,           0.0040882,            0.030095,            0.003268,            0.003268,            0.003268
                  70,            0.032221,           0.0049917,            0.028941,             0.61611,             0.53241,             0.56852,             0.41357,              0.0248,           0.0040779,            0.029457,            0.003169,            0.003169,            0.003169
                  71,            0.032986,           0.0049991,            0.028666,             0.61571,             0.54263,             0.56981,             0.41381,            0.025198,           0.0040517,            0.029048,             0.00307,             0.00307,             0.00307
                  72,            0.032612,            0.005094,             0.02914,             0.64332,             0.55131,              0.5823,             0.42377,            0.024603,            0.004068,            0.028725,            0.002971,            0.002971,            0.002971
                  73,            0.032964,           0.0050443,             0.02848,             0.61085,             0.54706,             0.58352,             0.42478,            0.025057,           0.0040463,            0.028303,            0.002872,            0.002872,            0.002872
                  74,            0.032385,           0.0050673,            0.027454,             0.58821,             0.56971,              0.5874,             0.42897,            0.024519,           0.0040379,            0.028047,            0.002773,            0.002773,            0.002773
                  75,            0.032903,            0.004891,            0.027059,             0.64072,             0.56172,              0.5894,              0.4281,             0.02456,           0.0040134,            0.027839,            0.002674,            0.002674,            0.002674
                  76,            0.033077,           0.0049385,             0.02808,             0.65763,             0.56228,             0.59121,             0.43047,             0.02461,           0.0039949,            0.027825,            0.002575,            0.002575,            0.002575
                  77,            0.031613,           0.0050712,            0.027889,             0.63944,              0.5441,             0.58966,             0.42772,             0.02435,           0.0040506,            0.027804,            0.002476,            0.002476,            0.002476
                  78,            0.031224,           0.0049612,            0.027196,             0.68663,             0.54184,             0.59576,             0.43323,             0.02414,           0.0039963,            0.027215,            0.002377,            0.002377,            0.002377
                  79,            0.031794,           0.0048867,            0.025751,             0.65558,             0.57369,             0.60114,             0.43902,             0.02428,           0.0039875,            0.026862,            0.002278,            0.002278,            0.002278
                  80,             0.03082,           0.0048883,            0.026241,             0.67067,             0.55683,             0.60402,             0.44215,            0.023825,            0.003997,            0.026534,            0.002179,            0.002179,            0.002179
                  81,            0.030741,           0.0048874,            0.026026,             0.67528,             0.55087,             0.60287,             0.44064,            0.023676,           0.0039829,            0.026332,             0.00208,             0.00208,             0.00208
                  82,            0.030892,           0.0048508,            0.025324,             0.69092,             0.56669,             0.60751,             0.44395,            0.023698,           0.0039635,            0.026048,            0.001981,            0.001981,            0.001981
                  83,            0.030259,           0.0048744,            0.024655,             0.60105,             0.57477,             0.61461,             0.45007,            0.023768,           0.0039522,            0.025765,            0.001882,            0.001882,            0.001882
                  84,            0.029879,           0.0047694,            0.024447,             0.57319,              0.6025,             0.61815,             0.45277,            0.023605,           0.0039347,            0.025331,            0.001783,            0.001783,            0.001783
                  85,            0.030204,           0.0047377,            0.023289,             0.59574,             0.59696,             0.61974,             0.45505,            0.023633,           0.0039297,             0.02512,            0.001684,            0.001684,            0.001684
                  86,            0.029744,           0.0047796,            0.022921,             0.65994,              0.5836,             0.62323,             0.45867,            0.023472,           0.0039096,             0.02494,            0.001585,            0.001585,            0.001585
                  87,            0.030228,           0.0047636,            0.022562,             0.60529,             0.59737,             0.62519,             0.46024,            0.023662,           0.0039165,            0.024795,            0.001486,            0.001486,            0.001486
                  88,            0.029454,           0.0046504,            0.023422,               0.604,             0.60045,             0.62724,             0.46193,            0.023604,           0.0039062,             0.02459,            0.001387,            0.001387,            0.001387
                  89,             0.02971,            0.004665,            0.022904,             0.60686,              0.6127,             0.63223,             0.46567,            0.023447,           0.0038971,            0.024221,            0.001288,            0.001288,            0.001288
                  90,            0.029029,           0.0047632,            0.021884,             0.66954,              0.5896,             0.63353,             0.46747,            0.023325,           0.0038996,            0.023975,            0.001189,            0.001189,            0.001189
                  91,            0.028793,           0.0045439,             0.02149,             0.69788,             0.59108,             0.63529,             0.46775,             0.02324,           0.0038883,             0.02379,             0.00109,             0.00109,             0.00109
                  92,            0.028317,            0.004639,            0.021381,             0.67052,              0.5957,             0.63215,             0.46687,            0.023102,           0.0038913,            0.023797,            0.000991,            0.000991,            0.000991
                  93,            0.027779,           0.0046632,            0.020901,             0.70641,             0.58623,             0.63604,             0.47001,            0.023044,           0.0038853,            0.023521,            0.000892,            0.000892,            0.000892
                  94,            0.027835,            0.004562,            0.020896,             0.66988,             0.60124,             0.63862,             0.47247,            0.023024,           0.0038804,            0.023369,            0.000793,            0.000793,            0.000793
                  95,            0.028522,             0.00448,            0.019685,             0.67264,             0.60285,             0.64032,             0.47364,            0.023128,           0.0038767,            0.023311,            0.000694,            0.000694,            0.000694
                  96,             0.02689,           0.0044878,            0.019867,             0.72963,             0.58344,             0.64101,             0.47356,            0.023042,           0.0038691,              0.0232,            0.000595,            0.000595,            0.000595
                  97,            0.027507,           0.0045489,            0.019245,             0.73632,             0.58613,             0.64399,             0.47476,            0.022921,           0.0038732,            0.023021,            0.000496,            0.000496,            0.000496
                  98,            0.026124,           0.0045902,            0.019179,             0.68203,             0.59969,             0.64596,             0.47754,            0.022922,           0.0038786,            0.022888,            0.000397,            0.000397,            0.000397
                  99,            0.025888,             0.00462,            0.018727,             0.71545,             0.59608,             0.64687,             0.47825,            0.022855,           0.0038814,            0.022712,            0.000298,            0.000298,            0.000298
